Gslib file
27  
BHID  
X  
Y  
Z_STRAT_TOP  
Z_MID  
Z_TOP  
Z_BOT  
LENGTH  
RC1  
AT1  
AA1  
ST1  
SR1  
FE1  
TI1  
PP1  
RC3  
AT3  
AA3  
ST3  
SR3  
FE3  
TI3  
PP3  
LITOM  
LPCP  
NORTH_FLAG  
133 588903.9732 9725002.3730 -4.2500 95.5800 95.8300 95.3300 0.5000 59.7414 43.6000 37.0000 7.0300 5.8000 26.1000 0.9200 22.2000 10.7696 45.7260 38.7110 5.8450 4.8740 25.1710 0.7230 22.9970 50 1 1
134 588904.1232 9725027.2030 -0.2500 99.2400 99.4900 98.9900 0.5000 70.1125 52.9000 50.8000 3.4300 2.6000 12.8000 1.7100 27.1900 9.5189 47.6750 45.5570 4.0500 2.1180 21.2500 1.7060 24.6050 50 1 1
134 588904.1232 9725027.2030 -0.7500 98.7400 98.9900 98.4900 0.5000 69.4672 53.7000 51.1000 2.7500 1.7000 13.2000 1.8000 27.5600 14.9861 53.0000 51.3840 2.3310 1.1540 14.5080 1.5820 26.8760 50 1 1
134 588904.1232 9725027.2030 -1.2500 98.2400 98.4900 97.9900 0.5000 76.0727 52.7000 48.8000 2.3300 1.3000 15.9000 1.5600 27.0900 11.4434 51.0400 49.3700 2.4270 1.2530 17.7950 1.3750 26.6850 50 1 1
134 588904.1232 9725027.2030 -1.7500 97.7400 97.9900 97.4900 0.5000 76.9917 53.5000 51.2000 2.3800 0.7000 14.5000 1.3600 27.3700 11.1343 54.7010 52.2800 1.9810 0.6280 14.1760 1.2010 27.7450 50 1 1
134 588904.1232 9725027.2030 -2.2500 97.2400 97.4900 96.9900 0.5000 69.8854 56.9000 54.1000 2.3700 1.3000 9.8400 1.4400 28.9300 14.4502 55.7140 53.0260 2.2100 1.2970 10.7430 1.3200 28.7110 50 1 1
134 588904.1232 9725027.2030 -2.7500 96.7400 96.9900 96.4900 0.5000 65.3717 56.6000 51.4000 5.0600 3.8000 9.5300 1.2600 28.0200 13.0721 56.3970 52.0350 3.9480 2.9350 9.8580 0.8560 28.4180 50 1 1
134 588904.1232 9725027.2030 -3.2250 96.2650 96.4900 96.0400 0.4500 53.8910 55.9000 50.0000 6.6000 5.7000 8.4700 1.2400 27.5700 13.2530 53.8140 50.4990 4.5910 4.0790 13.3260 0.7940 27.2620 50 1 1
135 588903.8832 9725052.3630 -0.2500 97.9900 98.2400 97.7400 0.5000 68.8559 49.9000 44.4000 2.1600 0.7000 20.4000 1.5600 26.1500 17.3454 47.5040 46.8160 2.0260 0.7900 24.0820 1.3720 25.0150 50 1 1
135 588903.8832 9725052.3630 -0.7500 97.4900 97.7400 97.2400 0.5000 50.2873 54.4000 51.1000 3.1900 2.5000 11.8000 1.3200 28.4700 24.1223 54.4620 51.1940 2.8590 1.6980 11.7760 1.4940 28.2870 50 1 1
135 588903.8832 9725052.3630 -1.2500 96.9900 97.2400 96.7400 0.5000 56.9407 55.8000 52.1000 4.0300 2.9000 7.8400 1.5100 28.9400 21.8459 55.0670 52.3520 3.6380 1.8970 11.3430 1.2840 28.2630 50 1 1
136 588899.4032 9724852.9330 -0.2500 100.1500 100.4000 99.9000 0.5000 74.5778 43.4000 42.1000 1.3100 0.9000 30.2000 1.4600 23.6400 12.6559 47.3810 45.4220 1.1940 0.8650 24.3890 1.3130 25.4230 50 1 1
136 588899.4032 9724852.9330 -0.7500 99.6500 99.9000 99.4000 0.5000 62.4068 50.4000 50.2000 1.3800 1.1000 18.7000 1.3200 27.1500 20.2246 50.5060 49.8820 1.3430 1.1500 18.9660 1.0700 27.1130 50 1 1
136 588899.4032 9724852.9330 -1.2500 99.1500 99.4000 98.9000 0.5000 66.4931 51.2000 50.0000 2.1600 1.6000 16.9000 1.2400 27.3000 16.3469 50.3620 49.5150 1.8140 1.5370 18.5120 1.0830 27.0660 50 1 1
136 588899.4032 9724852.9330 -1.7500 98.6500 98.9000 98.4000 0.5000 53.7133 53.4000 48.1000 5.5000 4.7000 11.4000 1.1900 27.7700 10.8039 49.8540 45.8930 4.6790 4.0660 17.1880 1.0490 26.2170 50 1 1
136 588899.4032 9724852.9330 -2.2500 98.1500 98.4000 97.9000 0.5000 69.1912 52.4000 48.6000 5.0400 4.1000 12.4000 1.2300 27.6300 10.8597 50.2970 47.5670 3.5290 3.3840 17.2040 0.8400 26.6100 50 1 1
137 588894.4432 9724852.3130 -0.2500 100.0400 100.2900 99.7900 0.5000 68.0499 44.3000 42.6000 1.1300 0.2000 29.5000 1.3000 23.7900 14.6650 42.4890 41.3830 1.0750 0.1000 32.0380 0.9550 23.0690 50 1 1
137 588894.4432 9724852.3130 -0.7500 99.5400 99.7900 99.2900 0.5000 65.2122 55.7000 52.9000 1.4300 0.6000 12.2000 1.4400 29.2500 20.9926 54.4720 53.6430 1.2710 0.5850 12.5860 1.0700 29.2190 50 1 1
137 588894.4432 9724852.3130 -1.2500 99.0400 99.2900 98.7900 0.5000 63.2192 53.9000 50.5000 2.2000 1.1000 12.9000 1.3500 28.6200 19.2406 52.6250 50.9500 1.6620 0.6240 15.3020 1.0450 28.1820 50 1 1
137 588894.4432 9724852.3130 -1.7500 98.5400 98.7900 98.2900 0.5000 60.6893 54.7000 50.7000 3.6700 3.3000 10.4000 1.4600 28.8400 9.6859 50.7640 47.7250 4.6120 1.9050 15.8360 1.4170 26.8350 50 1 1
137 588894.4432 9724852.3130 -2.2500 98.0400 98.2900 97.7900 0.5000 69.6028 55.4000 53.1000 2.1300 1.7000 10.5000 1.2000 29.3600 14.4279 55.0610 52.0230 1.9150 1.2970 12.2320 0.9800 28.9970 50 1 1
137 588894.4432 9724852.3130 -2.7500 97.5400 97.7900 97.2900 0.5000 65.3272 56.7000 53.3000 1.9400 1.6000 10.3000 1.2500 29.4600 19.0763 56.3850 54.4270 1.3450 0.9480 11.0120 0.8380 29.7390 50 1 1
137 588894.4432 9724852.3130 -3.2500 97.0400 97.2900 96.7900 0.5000 65.5983 55.2000 53.1000 1.7100 1.1000 11.1000 1.3000 29.2800 18.4337 55.4100 51.8550 1.2520 0.7830 12.3310 0.8840 29.3870 50 1 1
137 588894.4432 9724852.3130 -3.7500 96.5400 96.7900 96.2900 0.5000 63.1667 55.8000 52.9000 2.0900 1.6000 10.6000 1.2300 29.2800 20.0624 55.3000 52.0400 1.3320 0.7310 13.1340 0.8460 29.0940 50 1 1
137 588894.4432 9724852.3130 -4.2500 96.0400 96.2900 95.7900 0.5000 58.6730 54.1000 46.7000 5.4300 5.0000 11.0000 1.2200 27.6200 16.9081 55.0910 50.7810 3.2000 2.2840 12.2090 0.7450 28.3840 50 1 1
137 588894.4432 9724852.3130 -4.7500 95.5400 95.7900 95.2900 0.5000 52.7200 54.6000 46.9000 7.5900 5.4000 8.9000 1.1300 27.5000 16.8886 56.4330 51.0150 4.2840 3.8880 8.3360 0.5880 29.2680 50 1 1
138 588889.3732 9724852.4030 -0.2500 99.3700 99.6200 99.1200 0.5000 61.1388 53.2000 52.4000 1.4600 0.9000 15.5000 1.4900 28.0200 24.0454 47.7440 45.9310 1.5000 0.4710 23.3690 1.4880 25.5090 50 1 1
