BHID,X,Y,Z_STRAT_TOP,Z_MID,Z_TOP,Z_BOT,LENGTH,RCG,ATG,AAG,STG,SRG,FEG,TIG,PPG,LITOM,LPCP,NORTH_FLAG
1584,590727.8377,9726017.266,-1.6,91.84,92.04,91.64,0.4,72.195,54.74544450446707,51.25552201676017,4.050541394833438,3.9331332917792095,10.992321795138169,1.01049324745481,29.137495006579403,50,2,1
1585,590743.3677,9725970.425,-0.25,93.98,94.23,93.73,0.5,83.5501,45.1849034531377,43.72816753061935,2.01098494196895,0.8593177267292319,26.688525878484885,1.196549411670363,24.95450588329637,50,2,1
1585,590743.3677,9725970.425,-0.75,93.48,93.73,93.23,0.5,86.4862,49.52287619296489,48.21967668830403,2.1387990800844525,0.7012790942369996,19.99368624127317,1.2527198443219842,27.11519808940617,50,2,1
1585,590743.3677,9725970.425,-1.35,92.88,93.23,92.53,0.7,80.2584,50.92519422266081,47.70758604706797,2.6033684698424095,2.062461125564427,17.414994467868784,1.2370671481115996,27.348940073562396,50,2,1
1585,590743.3677,9725970.425,-1.925,92.305,92.53,92.08,0.45,58.0124,50.891998745095876,46.49499955181995,5.157002778716275,4.810998476187849,16.111999641455967,0.9919996414559645,26.818002151264213,50,2,1
1586,590723.9877,9726097.486,-0.25,94.17,94.42,93.92,0.5,86.428,52.59686657101866,51.31739130837229,1.6338793099458513,0.6313193409543204,15.86003372749572,1.227631184338409,28.693958022862965,50,2,1
1586,590723.9877,9726097.486,-0.75,93.67,93.92,93.42,0.5,91.07570000000001,53.84389653881331,52.48839592778315,1.9198753564342628,1.0136268840096754,13.411841138745022,1.2358745417273762,29.239260285674444,50,2,1
1586,590723.9877,9726097.486,-1.25,93.17,93.42,92.92,0.5,88.65459999999999,56.6003701105188,54.964007755942724,2.11258195288231,1.5560627423732105,9.270500526763417,1.0349215720334874,30.43064152339529,50,2,1
1586,590723.9877,9726097.486,-1.7,92.72,92.92,92.52,0.4,76.5157,53.53903630235364,51.0326987010509,2.9283119934863047,2.5347287680828905,13.207417588808571,1.0690128039082176,28.91655656290147,50,2,1
1587,590743.3177,9726049.066,-0.15,93.34,93.49,93.19,0.3,89.04729999999999,45.5354680265432,44.545720229585854,2.053473446134807,0.37472678003712634,25.83918236712399,1.2813374015832038,25.43392813706873,50,2,1
